May 18, 2023,0.072508,0.074833,0.074892,0.071695,944.49M,-3.04%
May 17, 2023,0.074784,0.072751,0.075424,0.072340,1.09B,2.79%
May 16, 2023,0.072751,0.071952,0.073238,0.070924,578.78M,1.11%
May 15, 2023,0.071953,0.071967,0.073549,0.070961,728.58M,-0.02%
May 14, 2023,0.071967,0.071666,0.072629,0.071219,363.44M,0.42%
May 13, 2023,0.071665,0.072367,0.072398,0.071357,434.51M,-0.97%
May 12, 2023,0.072369,0.071957,0.072616,0.069362,1.29B,0.58%
May 11, 2023,0.071955,0.073130,0.073160,0.069324,1.18B,-1.64%
May 10, 2023,0.073154,0.073115,0.074658,0.070594,1.19B,0.05%
May 09, 2023,0.073114,0.072416,0.073341,0.072130,770.90M,0.97%
May 08, 2023,0.072415,0.076502,0.077086,0.070287,1.49B,-5.34%
May 07, 2023,0.076502,0.076741,0.077487,0.076277,615.95M,-0.31%
May 06, 2023,0.076741,0.080203,0.080454,0.075910,1.14B,-4.31%
May 05, 2023,0.080201,0.078390,0.081456,0.077674,1.07B,2.31%
May 04, 2023,0.078390,0.079603,0.079702,0.077972,709.51M,-1.52%
May 03, 2023,0.079598,0.078774,0.080652,0.077172,865.38M,1.05%
May 02, 2023,0.078774,0.078823,0.079070,0.077674,589.72M,-0.06%
May 01, 2023,0.078824,0.079462,0.080007,0.077390,933.49M,-0.80%
Apr 30, 2023,0.079462,0.081576,0.081693,0.079283,720.75M,-2.59%
Apr 29, 2023,0.081576,0.080332,0.081909,0.080205,723.16M,1.55%
Apr 28, 2023,0.080334,0.080137,0.080601,0.079233,642.71M,0.25%
Apr 27, 2023,0.080137,0.078592,0.080922,0.078400,1.34B,1.94%
Apr 26, 2023,0.078608,0.079745,0.083459,0.075300,2.38B,-1.43%
Apr 25, 2023,0.079745,0.078744,0.079944,0.077568,882.19M,1.26%
Apr 24, 2023,0.078750,0.078778,0.080006,0.077237,1.05B,-0.04%
Apr 23, 2023,0.078778,0.080270,0.080729,0.076911,995.77M,-1.86%
Apr 22, 2023,0.080270,0.078427,0.080936,0.078187,1.04B,2.35%
Apr 21, 2023,0.078427,0.083894,0.084663,0.077244,2.78B,-6.52%
Apr 20, 2023,0.083894,0.087892,0.093238,0.082759,5.81B,-4.55%
Apr 19, 2023,0.087892,0.093951,0.094129,0.085836,3.69B,-6.45%
Apr 18, 2023,0.093953,0.091394,0.094664,0.089817,2.23B,2.80%
Apr 17, 2023,0.091392,0.090470,0.094702,0.088289,3.73B,1.02%
Apr 16, 2023,0.090465,0.088894,0.091754,0.087765,1.53B,1.77%
Apr 15, 2023,0.088890,0.088684,0.090512,0.087233,1.13B,0.21%
Apr 14, 2023,0.088707,0.087344,0.091169,0.085505,2.90B,1.56%
Apr 13, 2023,0.087344,0.083406,0.088790,0.082866,2.35B,4.73%
Apr 12, 2023,0.083398,0.084133,0.084487,0.081099,2.19B,-0.87%
Apr 11, 2023,0.084130,0.084794,0.085791,0.083623,1.29B,-0.79%
Apr 10, 2023,0.084797,0.083194,0.085402,0.082332,1.24B,1.92%
Apr 09, 2023,0.083197,0.081359,0.083846,0.081194,1.14B,2.26%
Apr 08, 2023,0.081359,0.082232,0.083827,0.080629,1.49B,-1.07%
